,Abusive Words
1531,ගොන්
1532,ගෑණියෙක්
1533,පරයො
1534,පක
1535,ගූපුච්චන්
1536,කන
1537,පකේ
1538,ජාතිවාදී
1539,හුත්ත
1540,පකයෝ
1541,ගල්
1542,මූසලී
1543,පරට්ටයන්ව
1544,තෝ
1545,මැරිය
1546,තො
1547,ගේ
1548,උබට
1549,බිජ්ජක්
1550,නෑ
1551,මෝඩ
1552,ආතල්
1553,පුක
1554,හුත්තො
1555,වසලයා
1556,අවජාතකයා
1557,සතා
1558,තොට
1559,ඔල්මාද
1560,පිස්සා
1561,වේසිගෙ
1562,හෙන
1563,බලු
1564,බැල්ලි
1565,බැල්ලි
1566,බැල්ලියෝ
1567,බැල්ලිගේ
1568,රෙද්දෙ
1569,රෙද්දෙ
1570,හෙන
1571,ගහනවා
1572,යකෝ
1573,තොපේ
1574,නෙදකින්
1575,කාලකණ්ණි
1576,හැත්ත
1577,කාලකණ්ණි
1578,පොන්න
1579,ගෑනුටික
1580,ගණිකා
1581,සේවයේ
1582,හැමිනෙන්න
1583,හැමිනෙන්න
1584,මෝඩ
1585,පර
1586,හැත්ත
1587,සක්කිලි
1588,සක්කිලි
1589,ගොන්
1590,හැත්ත
1591,තොට
1592,බිජ්ජ
1593,කපලා
1594,මූසල
1595,බල්ලො
1596,කාලකන්නිකමකට
1597,ගොන්
1598,බිජ්ජෙක්
1599,හුත්ත
1600,හුත්තක්
1601,අවජාතක
1602,අවජාතකයො
1603,ගෙරි
1604,බල්ලා
1605,තූ
1606,නෙද්දකින්
1607,වල්
1608,වනචර
1609,පරට්ට
1610,හැත්ත
1611,බුරුත්ත
1612,පයිය
1613,ලබ්බ
1614,තෝ
1615,මැරෙන
1616,මෝඩයෝ
1617,මෝඩ
1618,හැත්ත
1619,අවජාතක
1620,බල්ලො
1621,සක්කිලි
1622,පිස්සු
1623,හුක
1624,නොදකින්
1625,කාලකන්නි
1626,අපත
1627,හැත්ත
1628,කාලකන්නි
1629,කාලකන්නි
1630,සක්කිලි
1631,පට්ට
1632,බඩුවත්
1633,වේසිගේපුතේ
1634,තෝ
1635,පල
1636,බැල්ලි
1637,තෝ
1638,නොදකින්
1639,පර
1640,සුද්දෝ
1641,පර
1642,බැල්ලියේ
1643,මුසලයා
1644,ගෝත
1645,කරුම
1646,පුk
1647,කටට
1648,පුක
1649,පුක
1650,ගොන්
1651,ලොංත
1652,කාලකන්නි
1653,කැරි
1654,බල්ලෙක්
1655,රෙද්ද
1656,මොලේ
1657,අමාරුකාරයෙක්
1658,පුක
1659,පොන්න
1660,පොන්නයෝ
1661,ගොං
1662,මෝඩ
1663,කිම්බ
1664,හුකනවා
1665,පයිය
1666,කෙලින්
1667,හෙන
1668,කාලකන්නි
1669,හුත්ත
1670,ඒකි
1671,නාකියිද
1672,හුත්තෙක්
1673,පිස්සා
1674,පිස්සා
1675,ගෙම්බා
1676,පුකවල්
1677,ගෑනු
1678,හැතිරි
1679,ගහනව
1680,තොට
1681,වැලි
1682,තොපි
1683,තොපේ
1684,සාප
1685,කරයි
1686,තොපිට
1687,තොට
1688,පට්ට
1689,වේසි
1690,තෝ
1691,පල
1692,තොට
1693,තොපේ
1694,ගොබ
1695,හැත්ත
1696,වල්
1697,බැල්ලි
1698,තොට
1699,වේස
1700,හුකන්නොන්ට
1701,තොපේ
1702,නාකි
1703,විසේ
1704,හුජ්ජ
1705,ටහුකන්න
1706,අඩේ
1707,පරයා
1708,තොපේ
1709,තොපේ
1710,පුකද
1711,පුකෙන්
1712,ගූ
1713,හරකා
1714,චීත්ත
1715,කෑල්ල
1716,හුකන්නෙක්
1717,ගොන්
1718,අනුන්ගෙ
1719,සයිස්
1720,කෙලවුන
1721,පඩයක්
1722,පඩයක්
1723,පඩයක්
1724,බහුජ්ජ
1725,බිජ්ජ
1726,කපල
1727,යකෝ
1728,හුජ්ජ
1729,පකෝ
1730,රෙද්දේ
1731,නොදකින්
1732,මුසලයා
1733,අතේ
1734,ගහන
1735,හුජ්ජ
1736,කාලකණ්ණි
1737,වැදියාආආආආන්
1738,පට්ට
1739,බැල්ලී
1740,හැත්ත
1741,හුත්තෝ
1742,අසික්කිතම
1743,දෙශපාලුවෙක්
1744,පාපතර
1745,හැත්තක්
1746,හිගන්නෝ
1747,පකෝ
1748,තෝ
1749,තෝ
1750,පුක
1751,ලෙවකන
1752,වහලෙක්
1753,පකෝ
1754,කාලකණ්ණි
1755,නාකි
1756,විසේ
1757,බලු
1758,වේසි
1759,වයිරී
1760,ගූ
1761,හිල
1762,මෝඩ
1763,පකීර්
1764,පච
1765,මෝඩ
1766,හරකා
1767,නොදකින්
1768,පකිස්
1769,බූරුවා
1770,මුංට
1771,පුකෙත්
1772,පොන්න
1773,පකෙක්
1774,බල්ලො
1775,කාලකණ්ණි
1776,ටහුඩු
1777,මේකි
1778,පොන්න
1779,ගොබ්බ
1780,නපුර්සක
1781,රැල
1782,පකෝ
1783,ජංගි
1784,හුත්තෝ
1785,පකෝ
1786,තෝ
1787,හොම්බට
1788,නොදකින්
1789,කාලකණ්ණි
1790,නොදකින්
1791,බූරුවෙක්ට
1792,ලිස්සා
1793,වැටීයන්
1794,කෙල
1795,වී
1796,බල්ලෙක්
1797,තොපි
1798,මැරීයන්
1799,ගිනිපුක්
1800,ගාය
1801,ලබ්බන්ටයි
1802,මෝඩ
1803,බඩුව
1804,හෙලුව
1805,ගොන්
1806,වානරයෝ
1807,ගොන්
1808,හරකා
1809,නොදකිං
1810,කාලකණ්ණි
1811,පරයෝ
1812,හුත්තො
1813,ඌගෙ
1814,ඌ
1815,ඌට
1816,බොලාගෙ
1817,ලබ්බ
1818,කහන්නෙ
1819,පුක
1820,ගොන්
1821,හැත්තගේ
1822,ගොන්
1823,හරකා
1824,පේන්න
1825,බෑ
1826,පොන්න
1827,සිපයියා
1828,ගූ
1829,බට්ටෙකු
1830,උපන්
1831,කැත
1832,හුජ්ජ
1833,කොල්ලො
1834,තොපි
1835,හුජ්ජ
1836,ගොං
1837,හැත්ත
1838,පොන්න
1839,සිඟිති
1840,කොල්ලෝ
1841,හුකන්නා
1842,කාලකන්නියා
1843,මි
1844,හරක්
1845,යකෝ
1846,පොන්න
1847,හුත්තා
1848,කැරිමලයිස්
1849,කිම්බ
1850,ඌට
1851,හෙන
1852,හුජ්ජ
1853,කරලා
1854,හුජ්ජ
1855,ගොං
1856,රෙන්න
1857,පිස්සු
1858,හිටං
1859,රංගොන්ජා
1860,කරුපයියා
1861,වේසි
1862,නොදකින්
1863,හුත්තෝ
1864,අහවල්
1865,කාලකණ්ණි
1866,මරි
1867,මෝඩ
1868,හුජ්ජ
1869,හුජ්ජ
1870,සාප
1871,හුත්තො
1872,තොපෙ
1873,පුක
1874,තොට
1875,ගහනව
1876,දැනගනින්
1877,කාලකණ්ණි
1878,කාලකණ්ණි
1879,කාලකණ්ණිම
1880,පකෝ
1881,පුක
1882,පුක
1883,ඇට
1884,දෙකෙන්
1885,ටෞකන්ඩ
1886,යකෝ
1887,බබාහුකුම්
1888,ෆොන්න
1889,පාණ්ඩුව
1890,අම්මට
1891,හුකන්න
1892,හුත්තක්ද
1893,කිම්බ
1894,අම්මලට
1895,හුකලා
1896,පක
1897,ගොන්
1898,හරකෙක්
1899,මෝඩ
1900,මූසලයෙක්
1901,මෝඩයා
1902,හරකා
1903,නාකි
1904,ගෑනුන්ට
1905,වේසි
1906,පට්ට
1907,බූරුවෙක්ද
1908,හුජ්ජ
1909,ගස්
1910,බැල්ලි
1911,වේ
1912,පුපයි
1913,පිම්පිය
1914,තඩි
1915,අවජාතක
1916,පජාත
1917,තූ
1918,ලබ්බ
1919,පකෝ
1920,කුහක්
1921,හැත්ත
1922,පොන්න
1923,හැත්ත
1924,මෝඩ
1925,යක්කු
1926,පුක
1927,තුක්
1928,නොදකින්
1929,මුසලයා
1930,කිම්බ
1931,හුත්තක්ද
1932,පොන්න
1933,මහ
1934,කැත
1935,වැඩක්
1936,රෙද්දෙ
1937,රෙවිලා
1938,අවජාතක
1939,ජඩ
1940,පකෝ
1941,අනේ
1942,හුකේ
1943,නන්නානේ
1944,පොන්නයො
1945,ගොබ්බ
1946,හැත්ත
1947,මෝඩ
1948,පුක
1949,බහුජ්ජ
1950,පාහර
1951,හැත්ත
1952,හෙනම
1953,මෝඩ
1954,කැත
1955,හුකහන්
1956,පකෝ
1957,බඩු
1958,තොපි
1959,හුකම්නලා
1960,පුකෙන්
1961,හිනාවෙනව
1962,තමුසෙ
1963,තමුසෙ
1964,තමුසෙත්
1965,තමුසෙ
1966,බොරුකාර
1967,මී
1968,හරකා
1969,පිස්සුද
1970,ගෑණියේ
1971,කුහක
1972,යක්කු
1973,ජංගි
1974,ගූ
1975,යෝනියකටද
1976,තිරිසනෝ
1977,රෙද්ද
1978,බුදිය
1979,නොදකින්
1980,රෙද්දවල්
1981,අඩු
1982,කුලේ
1983,පර
1984,හැත්ත
1985,ගොන්
1986,වේසිගෙ
1987,බැල්ලි
1988,නාකි
1989,හිඟන
1990,ගොන්
1991,හැත්ත
1992,බැල්ලි
1993,බල්ලා
1994,බැල්ලියෙක්
1995,බල්ලා
1996,බිජ්ජො
1997,වේසි
1998,අමු
1999,කුණුහරප
2000,කාලකණ්ණි
2001,පල
2002,සාප
2003,හැදිම
2004,ගෑවියෝ
2005,රෙද්ද
2006,කාලකණ්ණි
2007,කාලකණ්ණි
2008,ගෝතය
2009,පකෝ
2010,තෝ
2011,පොන්න
2012,පුක
2013,පුක
2014,රෙන
2015,පුක
2016,හුකේ
2017,කිම්බ
2018,සුදු
2019,හිකිනත්
2020,පිහියකින්
2021,අනින්න
2022,මෝඩයො
2023,යකෝ
2024,උඹ
2025,පරට්ට
2026,බැල්ලි
2027,පකේ
2028,හරක්
2029,නොදකින්
2030,හුජ්ජ
2031,බිජ්ජ
2032,පුක
2033,පඩ
2034,ගූ
2035,දේශපාලුවෝ
2036,හුත්තො
2037,කට
2038,කන්න
2039,තොට
2040,හෙන
2041,ගහනවා
2042,ලබ්බ
2043,බැසීම
2044,නොදකිං
2045,තෝ
2046,පුක
2047,නොදී
2048,පලයං
2049,බූරුවෙක්නෙ
2050,තොපි
2051,ශාපයක්
2052,පොන්නයො
2053,අවජාතක
2054,හැත්ත
2055,නෙලපියව්
2056,පකෝ
2057,බිජ්ජ
2058,බඩුම
2059,පුක
2060,තොපි
2061,හැමිනුනාම
2062,පකද
2063,කාලකන්නි
2064,කාලකණ්ණි
2065,තොපි
2066,තොපි
2067,තු
2068,නොදකින්
2069,වේසියෝ
2070,සක්කිලි
2071,පකෝ
2072,තෝ
2073,කුක්කු
2074,බිලිංජා
2075,වේස
2076,සක්කිලියෙක්ගේ
2077,රෙදි
2078,ගැලෙව්වා
2079,ගොන්
2080,ගොබ්බ
2081,මැටිමෝල්ලු
2082,හෙන
2083,කෑල්ල
2084,ලෙවකාගෙන
2085,වහල්
2086,හැත්ත
2087,අපතයෙක්
2088,මුන්
2089,හොරු
2090,ගොන්
2091,රෑළක්
2092,උන්
2093,මී
2094,හරක්
2095,පකෝ
2096,තොගෙන්
2097,කථානයකයො
2098,තොට
2099,ගොං
2100,හැලපයා
2101,නාකි
2102,කාලකණ්ණි
2103,මුසලයා
2104,හුජ්ජ
2105,පුක
2106,පුක
2107,බැල්ලි
2108,සක්කිලි
2109,කාලකණ්ණි
2110,තෝවගේ
2111,මෝඩ
2112,මුසලයෙක්
2113,මී
2114,හරකෙක්
2115,පිස්සා
2116,පුක
2117,පස්සෙ
2118,සක්කිලි
2119,පුක
2120,පුක
2121,පුක
2122,ගොන්
2123,කාලකණ්ණි
2124,හුත්තෝ
2125,තෝ
2126,හුජ්ජ
2127,මව
2128,සක්කිලි
2129,බලු
2130,නෙට්වක්
2131,වේසි
2132,අලුගුත්තේරු
2133,හරකා
2134,බූරු
2135,ගොන්
2136,කාලකණ්ණි
2137,බේබදු
2138,කුහක
2139,නොසන්ඩාල
2140,අපත
2141,අමනයා
2142,කබ්බ
2143,දාල
2144,හුජ්ජ
2145,කරලා
2146,පිස්සු
2147,පිස්සු
2148,වහල්
2149,පොන්න
2150,වේස
2151,කැරි
2152,හුකන
2153,හුත්තිගෙ
2154,හුකන්න
2155,පකයෙක්
2156,ජංගිය
2157,ඇට
2158,පයිය
2159,පල
2160,ඩෝ
2161,අඩු
2162,කුලේ
2163,පර
2164,හැත්ත
2165,පකයින්ට
2166,කාලකණ්ණි
2167,අවජාතක
2168,බැල්ලියෙක්
2169,පුක
2170,සක්කිලි
2171,ටෞකන්ඩ
2172,පුක
2173,පකෝ
2174,පුක
2175,අවජාතක
2176,සමනල
2177,පොන්නයා
2178,නොදකින්
2179,පයිය
2180,පුක
2181,ලබ්බ
2182,පොන්නසේකාගේ
2183,අවජාතක
2184,පට්ට
2185,බැල්ලි
2186,තොට
2187,මූණ
2188,තඩි
2189,ගෑණි
2190,කැරි
2191,පොන්න
2192,හැත්තට
2193,ගොන්නු
2194,පොන්න
2195,පකයාගේ
2196,පට්ට
2197,වේසි
2198,තොපිලා
2199,නපුන්සක
2200,ගොං
2201,පොන්නයා
2202,මකබෑවිලා
2203,තූ
2204,ගල්
2205,බමුණා
2206,අවජාතක
2207,පයිය
2208,පුක
2209,පුක
2210,කැඩිච්ච
2211,තෝ
2212,මූ
2213,මහ
2214,අමන
2215,පාදඩ
2216,තුප්පහි
2217,සක්කිලි
2218,අවජාතක
2219,තිරිසන්
2220,හොරෙන්
2221,පර
2222,බල්ලා
2223,තෝ
2224,තු
2225,හ්
2226,නොදකින්
2227,කුහකයන්ට
2228,දෙකයි
2229,පනහේ
2230,සිපයියන්ගේ
2231,තෙප්පිලි
2232,තොගේ
2233,බිජ්ජ
2234,බඩ්ඩක්
2235,සිපයියෙක්
2236,නෙද්දකිං
2237,මෝඩ
2238,ගොන්
2239,පයියෝ
2240,හරක්ගේ
2241,පකෝ
2242,ගොන්
2243,පානවා
2244,අහවල්
2245,එකක්
2246,තීද
2247,බලපන්
2248,සක්කිලි
2249,කම
2250,ගොබ්බ
2251,හැත්තක්
2252,නදෝමකින්
2253,තොපි
2254,හාවා
2255,නොදකින්
2256,වල්
2257,හාවා
2258,ගොන්
2259,බිජ්ජන්
2260,තොගෙ
2261,වේසි
2262,පකෝ
2263,බලු
2264,හරකා
2265,බිජ්ජෙ
2266,ඇටදෙකේ
2267,රෙන
2268,පුකට
2269,තොපි
2270,සාපයක්
2271,යකෝ
2272,තොපි
2273,සාපයක්
2274,පයිය
2275,හුත්තිගෙ
2276,පුතාලා
2277,හුකේ
2278,උබලගෙ
2279,පොන්න
2280,තෝ
2281,ගැඩවිල්
2282,හෙන
2283,ගහපං
2284,මැරිලා
2285,වැටියං
2286,බිජ්ජ
2287,හැලිලා
2288,බිජ්ජට
2289,බැල්ලි
2290,පට්ට
2291,වේසි
2292,නෙදකින්
2293,භූගත
2294,බල්ලා
2295,හුකාපං
2296,පොන්න
2297,වේසිගේ
2298,පුතා
2299,තෝ
2300,පොන්න
2301,වේසිගෙ
2302,පුතෝ
2303,කැරි
2304,බල්ලා
2305,තෝ
2306,පකෝ
2307,තෝ
2308,තොට
2309,සයිකොද
2310,යකෝ
2311,ගල්කෙප්ප
2312,ලංසි
2313,බඩුවක්
2314,ඇට
2315,දෙක
2316,කොන
2317,කපපු
2318,නොදැකින්
2319,කාලකන්නි
2320,අවජාතක
2321,බල්ලෝ
2322,අවජාතක
2323,බල්ලෝ
2324,කිම්බ
2325,ගෙරි
2326,නානෝ
2327,තොපි
2328,තු
2329,කාලකණ්ණි
2330,බිජ්ජ
2331,නාකි
2332,මැදමුලනයා
2333,අවජාතකයා
2334,තමුසෙත්
2335,පොන්න
2336,කැරි
2337,වදයක්නෙ
2338,හුකා
2339,හැමිනිච්ච
2340,තොපිට
2341,හෙන
2342,ගහනවා
2343,සක්කිලි
2344,නාකි
2345,ගොබ්බ
2346,ලබ්බවල්
2347,තෝ
2348,පලයන්
2349,මැරියං
2350,තෝ
2351,ලබ්බා
2352,උඹ
2353,උඹ
2354,හුකපං
2355,පට්ට
2356,හොරෙක්
2357,පට්ට
2358,තෝ
2359,බිජ්ජො
2360,තෝ
2361,ඇටයක්
2362,හැම
2363,රෙද්දටම
2364,කට
2365,දානවා
2366,හුත්තෝ
2367,හුත්තී
2368,හුත්තක්
2369,හුත්තක්
2370,පිම්පියො
2371,අහිකුණ්ටිකයො
2372,පරයො
2373,සක්කිලි
2374,ලබ්බකටද
2375,හුකාගන්නෙ
2376,සක්කිලි
2377,සක්කිලියෙක්
2378,පකයලා
2379,පකයලා
2380,ලබ්බෙ
2381,බල්ලො
2382,බලල්ලු
2383,කාලකණ්ණි
2384,නාකි
2385,කිම්බ
2386,බැල්ලි
2387,සාපලත්
2388,හැත්ත
2389,සක්කිලි
2390,හැත්තගේ
2391,පුකේ
2392,මුද්දර
2393,රෙද්ද
2394,ගැලවේ
2395,පිස්සුදෝත්තෝ
2396,පකෝ
2397,අසික්කිතය
2398,මූ
2399,මූ
2400,තොපිත්
2401,ලබ්බක්
2402,තුක්
2403,නොදකින්
2404,තූ
2405,තූ
2406,හුජ්ජ
2407,යන්නේ
2408,දෙමළ
2409,සක්කිලි
2410,බල්ලන්ව
2411,වේසකමේ
2412,උඹ
2413,බිජ්ජ
2414,උඹ
2415,ඌට
2416,හුජ්ජ
2417,බීපිය
2418,පාහරයා
2419,කැරි
2420,කැරියා
2421,වේස
2422,හුත්තා
2423,වේස
2424,හුත්තී
2425,පොන්න
2426,පකයා
2427,පොන්න
2428,කැරියා
2429,කැරි
2430,පොන්නයා
2431,පොන්න
2432,පකයා
2433,පකෝ
2434,තෝ
2435,ගොන්
2436,හුත්තෙක්
2437,වෙසිගේ
2438,පුතා
2439,තෝ
2440,සමහරක්
2441,ලබ්බටද
2442,යකෝ
2443,සක්කිලි
2444,කිම්බට
2445,හුකන්නම්
2446,පයිය
2447,පකෝ
2448,මෝඩ
2449,ඇබලයෝ
2450,පයිය
2451,පයිය
2452,ගොං
2453,වේසිගෙ
2454,තෝ
2455,පුක
2456,පකෝ
2457,ගැනියේ
2458,පල
2459,මෝඩ
2460,වෙසිගෙ
2461,තෝ
2462,ගූ
2463,පොන්න
2464,පකෝ
2465,අවජාතක
2466,නාකියායෝ
2467,ගොන්
2468,බිජ්ජෙක්
2469,රෙන්
2470,බලාපිය
2471,පොන්න
2472,කාලකන්ණියෙක්
2473,නොදකින්
2474,ගල්
2475,මුසලයා
2476,නරුමයෝ
2477,තොපි
2478,බඩුකාරයෙක්
2479,පකේ
2480,හුත්ත
2481,පුක
2482,පම්කුනේ
2483,වේසි
2484,ගොන්
2485,ගිලිනව
2486,හැමිනියන්
2487,පුකකට
2488,අවජාතක
2489,හුත්තල
2490,පකෙක්
2491,අසික්කිත
2492,තොට
2493,තෝ
2494,පල
2495,වල්
2496,පරයා
2497,තෝ
2498,පල
2499,මෝඩ
2500,මුසලයා
2501,පොන්නය
2502,තොට
2503,හෙනම
2504,ගහපිය
2505,කැ
2506,වේසි
2507,ලබ්බ
2508,පුක
2509,ශාප
2510,ශාප
2511,ශාපවේවා
2512,තොපි
2513,පලයල්
2514,රෙද්ද
2515,කිම්බ
2516,ගොන්
2517,මෝඩ
2518,යකා
2519,තොපි
2520,පොන්නයෙක්
2521,පොන්නයෝ
2522,සිපයියන්
2523,පක
2524,පක
2525,ලබ්බන්ට
2526,අවජාතක
2527,බැල්ලියොත්
2528,කරුමයක්ද
2529,හුයන්නකුත්
2530,පිස්සා
2531,තොට
2532,තොගේ
2533,පක්
2534,සක්කිලි
2535,පක
2536,වේසි
2537,පුතාලා
2538,හුත්තෝ
2539,පලයව්
2540,තොපි
2541,හෙනේ
2542,වල්
2543,වලා
2544,වලා
2545,පක
2546,හුකනවා
2547,අන්තවාදියන්ව
2548,එලවන්න
2549,ඕන
2550,බැල්ලි
2551,බැල්ලියෝ
2552,හුජ්ජ
2553,වේසකම්
2554,වෙX
2555,වේXගෙ
2556,පුතා
2557,තුප්පහි
2558,සක්කිලි
2559,වේස
2560,බඩුව
2561,යකෝ
2562,තොපේ
2563,කුනු
2564,කිම්බවල්
2565,පලයං
2566,හම්බයෙක්
2567,යකෝ
2568,බැල්ලි
2569,පක
2570,කිම්බ
2571,වේසි
2572,සාප
2573,පට්ට
2574,වේසි
2575,අම්මට
2576,හුකාපන්
2577,වේසි
2578,රට
2579,හරකා
2580,නොදැකින්
2581,කාලකන්නියා
2582,මුසලයා
2583,ගොං
2584,හැත්ත
2585,වේසිගෙ
2586,වේසිගෙ
2587,කටට
2588,දෙන්න
2589,උගුඩුවෝ
2590,හැත්ත
2591,බුරුත්තම
2592,පකෝ
2593,පොන්න
2594,නුගත්
2595,පකෝ
2596,පලයං
2597,අයිසෙ
2598,වඳයි
2599,රෙද්දක්
2600,හමුනන්න
2601,රෙද්ද
2602,පකටම
2603,පුකෙං
2604,පොන්න
2605,පැටවු
2606,වේසියක්
2607,කාලකන්නියා
2608,සැමන්
2609,බයියෝ
2610,බැසිලයා
2611,ගොන්
2612,බයියෝ
2613,ගොන්
2614,වේසි
2615,සක්කිලි
2616,වේසිගෙ
2617,පුතාල
2618,රෙද්ද
2619,පොන්න
2620,චීත්ත
2621,පුක
2622,නාකි
2623,රෙද්දක්
2624,හුජ්ජ
2625,රෙද්දේ
2626,පලයන්
2627,කැරි
2628,අවජාතක
2629,ඌරා
2630,පුක
2631,නොදකින්
2632,කාලකණ්ණි
2633,හෙණ
2634,තොපිට
2635,කෙරි
2636,බල්ලා
2637,නොදකින්
2638,තොට
2639,පලයන්
2640,පොන්න
2641,පකෙක්
2642,හුකෝලා
2643,ගොං
2644,පකයට
2645,හැමින්නෙන්න
2646,පකයා
2647,හුත්තා
2648,පොන්න
2649,සිපයි
2650,හුත්ත
2651,ලබ්බෙ
2652,හැත්ත
2653,හුකන
2654,අවජාතක
2655,පුක
2656,රෙන්ඩ
2657,නොදකින්
2658,ගොන්
2659,හැත්ත
2660,ශාප
2661,බිජ්ජ
2662,කපනව
2663,පොන්න
2664,පොන්සියා
2665,පක
2666,කැරි
2667,පකා
2668,තෝ
2669,තෝ
2670,තමුසෙගෙ
2671,බෙල්ල
2672,කපලා
2673,මරන්නෙ
2674,සක්කිලි
2675,හරක්
2676,හැත්ත
2677,කිම්බ
2678,පක
2679,පයිය
2680,හුත්ත
2681,හුත්තා
2682,හුත්තී
2683,පක
2684,පකයා
2685,ඌ
2686,පුක
2687,ටහුකන්ඩ
2688,පල
2689,වේසි
2690,හුකන්ඩ
2691,වේසියන්ට
2692,හෙන
2693,ගහන්නෙපැයි
2694,වල්
2695,පරයා
2696,තොපිට
2697,අවලම්
2698,බල්ලා
2699,තූ
2700,නොදකින්
2701,ජාතිවාදී
2702,උන්
2703,දේශපාලුවෝ
2704,වේස
2705,බල්ලෝ
2706,ගොන්
2707,හැත්ත
2708,පුකේ
2709,ගහන්
2710,බිජ්ජ
2711,කටේ
2712,තොම්පලේ
2713,පොන්නයා
2714,ලොන්තපෝල්
2715,ගොන්
2716,වේසි
2717,පඳුරු
2718,ගොනා
2719,පුක
2720,ඉරන්
2721,හුත්ත
2722,පෙරේත
2723,හැත්ත
2724,නොදකින්
2725,කාලකන්නි
2726,බල්ලා
2727,සක්කිලි
2728,ගෑණියෙක්
2729,ගෑණියෙක්
2730,තෝ
2731,පට්ට
2732,ගෑණි
2733,පරගෑණුන්ට
2734,වහල්භාවය
2735,මුඩුක්කු
2736,සක්කිලි
2737,සක්කිලි
2738,පුකේ
2739,ගොන්
2740,පකයිලා
2741,නොදකින්
2742,කාලකණ්ණි
2743,හුත්ත
2744,හුකමො
2745,පයියෙං
2746,පුකෙං
2747,ගොං
2748,බිජ්ජන්ට
2749,හු
2750,තොට
2751,පලයන්කෝ
2752,නොදකින්
2753,පරට්ටි
2754,මූසලයි
2755,නොදකින්
2756,තොපි
2757,පකයල
2758,පුකේ
2759,පකෝ
2760,තෝ
2761,කැරි
2762,වස්තියා
2763,ගොන්
2764,මූසලයා
2765,ගොනා
2766,මෝඩ
2767,කටක්
2768,ලබ්බ
2769,පරට්ට
2770,කොටියා
2771,අම්මගෙර්
2772,හුත්ත
2773,පලයන්
2774,යකෝ
2775,රෙද්ද
2776,බෙබදු
2777,බල්ලෙක්
2778,බැල්ලි
2779,පයිය
2780,කපනවයි
2781,මුං
2782,පයිය
2783,පුක
2784,වේසිගෙ
2785,පුතාව
2786,පොන්න
2787,බල්ල
2788,පරයා
2789,තොටයි
2790,තොගේ
2791,හෙන
2792,තොපි
2793,පිස්සු
2794,ගොන්
2795,පල
2796,පකෝ
2797,පලයන්
2798,කෙල්ලේ
2799,මේවේසියන්ට
2800,වේසි
2801,වේසි
2802,නාකි
2803,බඩ
2804,තඩි
2805,හැකර
2806,කටුමාරිස්ලට
2807,බම්බුවක්ද
2808,තන්
2809,මූකලන්
2810,බස්සො
2811,අවජාතක
2812,වේසි
2813,හරකෙක්
2814,කලු
2815,වේස
2816,බැල්ලීගේ
2817,පුතෝ
2818,වල්පකයෙක්
2819,ලබ්බ
2820,වල්
2821,පරයා
2822,තොට
2823,ගල්
2824,වේසිගේ
2825,පුතෙක්
2826,ලබ්බ
2827,ලබ්බ
2828,පුකට
2829,හුත්තෝ
2830,තෝ
2831,ගොන්
2832,ගොන්
2833,හැත්ත
2834,ගොං
2835,බතලියක්
2836,රෙද්ද
2837,පුක
2838,පඩ
2839,වල්
2840,බැල්ලි
2841,තොට
2842,වල්
2843,බැල්ලි
2844,තොට
2845,හුජ්ජ
2846,කොල්ලො
2847,නෙදකින්
2848,පකයලා
2849,පස්ස
2850,පැත්ත
2851,මකබෑ
2852,වෙලා
2853,පලයවු
2854,තොපි
2855,රෙද්ද
2856,ලබ්බ
2857,bitches
2858,තෝ
2859,අවජාතක
2860,බල්ලෙක්
2861,ගොන්
2862,යකෝ
2863,බැල්ලි
2864,අවජාතක
2865,කලකනි
2866,ලබ්බ
2867,පු
2868,පරයා
2869,බල්ලා
2870,පුක
2871,හුකෙ
2872,පකෝ
2873,තෝ
2874,තූ
2875,යකෝ
2876,තොට
2877,පුකේ
2878,තොගේම
2879,පොන්න
2880,බොල
2881,අහවල්
2882,පොල්ල
2883,ගොං
2884,බයියන්ගෙ
2885,වේස
2886,බඩුවක්
2887,පලකො
2888,කාලකණ්ණි
2889,කාලකණ්ණි
2890,පෙරේතයා
2891,හුජජ
2892,බිජ්ජ
2893,හුජ්ජ
2894,මූසල
2895,හැත්ත
2896,මෝඩ
2897,වේස
2898,ගෑනු
2899,තෝ
2900,බඩුවක්
2901,තෝව
2902,පකෝ
2903,පුක
2904,පුක
2905,ගොන්
2906,නම්බොත්
2907,ඩබල්
2908,බල්ලා
2909,සිපයියෙක්
2910,වේසි
2911,හරක්
2912,හුත්ත
2913,පෙරේතයා
2914,හෙන
2915,ගහපන්
2916,ගල්
2917,මුසලයා
2918,යකෝ
2919,හුකන
2920,මෝඩ
2921,කැරිම
2922,කාලකණ්ණි
2923,වේසිගෙපුතාලා
2924,හුකන
2925,ගොනා
2926,හරකා
2927,කැරපොත්තා
2928,හිකනලා
2929,බස්සා
2930,ගෙම්බා
2931,ගොන්
2932,ගොන්
2933,හුත්ත
2934,එකේකෞත්තවල්
2935,පයිය
2936,හැත්ත
2937,මුන්ටත්
2938,කාලකණ්ණි
2939,වේසිගේ
2940,පොන්නයෙක්
2941,පම්කයා
2942,තෝ
2943,තොගෙ
2944,හෙන
2945,වල්
2946,බන්
2947,තොපෙ
2948,ගොන්
2949,පකේ
2950,තොපිම
2951,සක්කිලි
2952,කැරි
2953,වේසිගෙ
2954,හුකන්න
2955,අවජාතක
2956,මන්දමානසිකයින්
2957,පලයන්
2958,ගෝන්
2959,හරකා
2960,තෝ
